configuration,model,question_index,f1_score_1,f1_score_2,f1_score_3,f1_score_4,f1_score_5,f1_score_6
Linear-Flow with Router,gpt-4o-mini-petrobras,1,0.75,0.6666666666666667,0.5454545454545454,0.5,,
Linear-Flow with Router,gpt-4o-mini-petrobras,14e,0.7142857142857143,0.6250000000000001,0.6153846153846153,0.4615384615384615,,
Linear-Flow with Router,gpt-4o-mini-petrobras,14f,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5,,
Linear-Flow with Router,gpt-4o-mini-petrobras,15,0.43478260869565216,0.42857142857142855,0.35294117647058826,0.26666666666666666,,
Linear-Flow with Router,gpt-4o-mini-petrobras,16,0.6666666666666665,0.6,0.6,0.5,,
Linear-Flow with Router,gpt-4o-mini-petrobras,17,0.7058823529411765,0.5555555555555556,0.5263157894736842,0.5263157894736842,0.5,
Linear-Flow with Router,gpt-4o-mini-petrobras,18,0.625,0.5,0.0,0.0,,
Linear-Flow with Router,gpt-4o-mini-petrobras,19a,0.4444444444444445,0.42857142857142855,0.32,0.3157894736842105,,
Linear-Flow with Router,gpt-4o-mini-petrobras,19b,0.4,0.3809523809523809,0.3809523809523809,0.3529411764705882,,
Linear-Flow with Router,gpt-4o-mini-petrobras,2,0.375,0.375,0.35294117647058826,0.25,,
Linear-Flow with Router,gpt-4o-mini-petrobras,27a,0.6666666666666666,0.5925925925925927,0.5925925925925927,0.5925925925925927,,
Linear-Flow with Router,gpt-4o-mini-petrobras,27b,0.47619047619047616,0.4444444444444444,0.4444444444444444,0.4444444444444444,,
Linear-Flow with Router,gpt-4o-mini-petrobras,28,1.0,1.0,1.0,1.0,0.7499999999999999,0.0
Linear-Flow with Router,gpt-4o-mini-petrobras,29c,0.6428571428571429,0.6428571428571428,0.6428571428571428,0.6206896551724139,0.5999999999999999,0.5806451612903226
Linear-Flow with Router,gpt-4o-mini-petrobras,29d,0.56,0.56,0.56,0.56,0.39999999999999997,0.39999999999999997
Linear-Flow with Router,gpt-4o-mini-petrobras,3,0.6666666666666666,0.6666666666666665,0.6153846153846153,0.6,,
Linear-Flow with Router,gpt-4o-mini-petrobras,30a,0.5,0.5,0.5,0.5,,
Linear-Flow with Router,gpt-4o-mini-petrobras,30b,0.5,0.5,0.5,0.5,,
Linear-Flow with Router,gpt-4o-mini-petrobras,31a,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,,
Linear-Flow with Router,gpt-4o-mini-petrobras,31b,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,
Linear-Flow with Router,gpt-4o-mini-petrobras,32d,0.33333333333333326,0.26666666666666666,0.0,,,
Linear-Flow with Router,gpt-4o-mini-petrobras,33a,0.5714285714285715,0.5714285714285714,0.5,0.5,,
Linear-Flow with Router,gpt-4o-mini-petrobras,33b,0.6,0.5,0.5,0.5,,
Linear-Flow with Router,gpt-4o-mini-petrobras,35b,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7692307692307693,,
Linear-Flow with Router,gpt-4o-petrobras,1,0.75,0.6,0.6,,,
Linear-Flow with Router,gpt-4o-petrobras,14e,0.6666666666666667,0.6666666666666666,0.6666666666666666,,,
Linear-Flow with Router,gpt-4o-petrobras,14f,0.6666666666666666,0.6666666666666666,0.5714285714285714,,,
Linear-Flow with Router,gpt-4o-petrobras,15,0.6,0.5882352941176471,0.4444444444444444,,,
Linear-Flow with Router,gpt-4o-petrobras,16,0.7272727272727272,0.6,0.5,,,
Linear-Flow with Router,gpt-4o-petrobras,17,0.4444444444444444,0.4210526315789474,0.34782608695652173,0.25000000000000006,,
Linear-Flow with Router,gpt-4o-petrobras,18,0.625,0.5454545454545454,0.42857142857142855,,,
Linear-Flow with Router,gpt-4o-petrobras,19a,0.4,0.4,0.2857142857142857,,,
Linear-Flow with Router,gpt-4o-petrobras,19b,0.4444444444444444,0.4,0.38095238095238093,,,
Linear-Flow with Router,gpt-4o-petrobras,2,0.5714285714285714,0.5714285714285714,0.4615384615384615,,,
Linear-Flow with Router,gpt-4o-petrobras,27a,0.8000000000000002,0.7692307692307692,0.7586206896551724,,,
Linear-Flow with Router,gpt-4o-petrobras,27b,0.7826086956521738,0.6363636363636364,0.6086956521739131,,,
Linear-Flow with Router,gpt-4o-petrobras,28,1.0,0.9600000000000001,0.8181818181818182,0.8000000000000002,0.761904761904762,
Linear-Flow with Router,gpt-4o-petrobras,29c,0.8421052631578948,0.7692307692307693,0.7272727272727273,0.6666666666666667,0.6666666666666666,
Linear-Flow with Router,gpt-4o-petrobras,29d,0.6956521739130435,0.64,0.6363636363636364,0.5882352941176471,0.5555555555555556,
Linear-Flow with Router,gpt-4o-petrobras,3,0.6666666666666666,0.4615384615384615,0.4615384615384615,,,
Linear-Flow with Router,gpt-4o-petrobras,30a,1.0,1.0,1.0,,,
Linear-Flow with Router,gpt-4o-petrobras,30b,1.0,1.0,0.6666666666666666,,,
Linear-Flow with Router,gpt-4o-petrobras,31a,1.0,1.0,0.6666666666666666,,,
Linear-Flow with Router,gpt-4o-petrobras,31b,1.0,1.0,1.0,,,
Linear-Flow with Router,gpt-4o-petrobras,32d,0.5714285714285715,0.4615384615384615,0.0,,,
Linear-Flow with Router,gpt-4o-petrobras,33a,0.3333333333333333,0.2857142857142857,0.0,,,
Linear-Flow with Router,gpt-4o-petrobras,33b,0.5,0.5,0.36363636363636365,,,
Linear-Flow with Router,gpt-4o-petrobras,35b,0.7692307692307693,0.7692307692307693,0.0,0.0,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,1,0.4444444444444445,0.375,0.375,0.3157894736842105,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,14e,0.6666666666666666,0.6153846153846153,0.5714285714285715,0.4615384615384615,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,14f,0.6,0.6,0.5454545454545454,0.5,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,15,0.5,0.380952380952381,0.380952380952381,0.36363636363636365,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,16,0.6666666666666665,0.6666666666666665,0.6,0.6,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,17,0.64,0.5714285714285713,0.5263157894736842,0.48,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,18,0.5714285714285715,0.5714285714285715,0.5,0.5,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,19a,0.48,0.42857142857142855,0.4137931034482759,0.3636363636363637,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,19b,0.4545454545454545,0.43478260869565216,0.4210526315789473,0.39999999999999997,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,2,0.4615384615384615,0.3809523809523809,0.35294117647058826,0.2608695652173913,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,27a,0.6086956521739131,0.6086956521739131,0.5263157894736842,0.4666666666666667,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,27b,0.23529411764705882,0.21052631578947364,0.0,0.0,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,28,0.962962962962963,0.962962962962963,0.9333333333333333,0.8666666666666667,0.8461538461538461,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,29c,0.6428571428571429,0.5999999999999999,0.5925925925925926,0.5806451612903226,0.4999999999999999,0.48000000000000004
Multi-Agent Supervisor,gpt-4o-mini-petrobras,29d,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5,0.4210526315789474,0.33333333333333326
Multi-Agent Supervisor,gpt-4o-mini-petrobras,3,0.42857142857142855,0.42857142857142855,0.30769230769230765,0.3,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,30a,1.0,1.0,1.0,1.0,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,30b,1.0,1.0,1.0,1.0,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,31a,0.5,0.5,0.0,0.0,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,31b,0.5,0.5,0.0,0.0,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,32d,0.5,0.4444444444444445,0.4210526315789474,,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,33a,0.5,0.4615384615384615,0.4615384615384615,0.30769230769230765,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,33b,0.4,0.36363636363636365,0.3636363636363636,0.18181818181818182,,
Multi-Agent Supervisor,gpt-4o-mini-petrobras,35b,0.7692307692307693,0.7142857142857143,0.3076923076923077,0.0,,
Multi-Agent Supervisor,gpt-4o-petrobras,1,0.5555555555555556,0.4545454545454546,0.42857142857142855,,,
Multi-Agent Supervisor,gpt-4o-petrobras,14e,0.5714285714285714,0.5714285714285714,0.5714285714285714,,,
Multi-Agent Supervisor,gpt-4o-petrobras,14f,0.6666666666666666,0.6,0.5454545454545454,,,
Multi-Agent Supervisor,gpt-4o-petrobras,15,0.4615384615384615,0.42857142857142855,0.39999999999999997,,,
Multi-Agent Supervisor,gpt-4o-petrobras,16,0.5882352941176471,0.4,0.3333333333333333,,,
Multi-Agent Supervisor,gpt-4o-petrobras,17,0.5,0.41666666666666663,0.3333333333333333,,,
Multi-Agent Supervisor,gpt-4o-petrobras,18,0.7272727272727272,0.5454545454545454,0.5454545454545454,,,
Multi-Agent Supervisor,gpt-4o-petrobras,19a,0.48,0.4,0.3157894736842105,,,
Multi-Agent Supervisor,gpt-4o-petrobras,19b,0.36363636363636365,0.3,0.3,,,
Multi-Agent Supervisor,gpt-4o-petrobras,2,0.6153846153846153,0.5,0.5,,,
Multi-Agent Supervisor,gpt-4o-petrobras,27a,0.6206896551724138,0.6086956521739131,0.5925925925925927,,,
