configuration,model,question_index,f1_score_1,f1_score_2,f1_score_3,f1_score_4,f1_score_5,f1_score_6,f1_score_7
Linear-Flow (Baseline),GPT-4o,01,0.5,0.3529411764705882,,,,,
Linear-Flow (Baseline),GPT-4o,02,0.5454545454545454,0.47058823529411764,,,,,
Linear-Flow (Baseline),GPT-4o,03,0.42857142857142855,0.39999999999999997,,,,,
Linear-Flow (Baseline),GPT-4o,14e,0.5263157894736842,0.47058823529411764,,,,,
Linear-Flow (Baseline),GPT-4o,14f,0.5454545454545454,0.5454545454545454,,,,,
Linear-Flow (Baseline),GPT-4o,15,0.5454545454545454,0.4615384615384615,,,,,
Linear-Flow (Baseline),GPT-4o,16,0.4,0.4,,,,,
Linear-Flow (Baseline),GPT-4o,17,0.6086956521739131,0.5714285714285713,,,,,
Linear-Flow (Baseline),GPT-4o,18,0.7142857142857143,0.6666666666666666,,,,,
Linear-Flow (Baseline),GPT-4o,19a,0.4347826086956522,0.4000000000000001,,,,,
Linear-Flow (Baseline),GPT-4o,19b,0.42105263157894735,0.35294117647058826,,,,,
Linear-Flow (Baseline),GPT-4o,27a,0.7826086956521738,0.761904761904762,,,,,
Linear-Flow (Baseline),GPT-4o,27b,0.6363636363636364,0.5217391304347826,,,,,
Linear-Flow (Baseline),GPT-4o,28,1.0,0.75,,,,,
Linear-Flow (Baseline),GPT-4o,29c,0.8000000000000002,0.5714285714285715,,,,,
Linear-Flow (Baseline),GPT-4o,29d,0.5833333333333334,0.5454545454545454,,,,,
Linear-Flow (Baseline),GPT-4o,30a,0.6666666666666666,0.6666666666666666,,,,,
Linear-Flow (Baseline),GPT-4o,30b,0.6666666666666666,0.6666666666666666,,,,,
Linear-Flow (Baseline),GPT-4o,31a,0.6666666666666666,0.6666666666666666,,,,,
Linear-Flow (Baseline),GPT-4o,31b,0.0,0.0,,,,,
Linear-Flow (Baseline),GPT-4o,32d,0.7058823529411765,0.42857142857142855,,,,,
Linear-Flow (Baseline),GPT-4o,33a,0.47058823529411764,0.35294117647058826,,,,,
Linear-Flow (Baseline),GPT-4o,33b,0.3636363636363636,0.3333333333333333,,,,,
Linear-Flow (Baseline),GPT-4o,35b,0.9333333333333333,0.9333333333333333,0.875,,,,
Linear-Flow (Baseline),GPT-4o-mini,01,0.5714285714285715,0.375,,,,,
Linear-Flow (Baseline),GPT-4o-mini,02,0.3636363636363637,0.2857142857142857,,,,,
Linear-Flow (Baseline),GPT-4o-mini,03,0.5714285714285715,0.4615384615384615,,,,,
Linear-Flow (Baseline),GPT-4o-mini,14e,0.75,0.625,,,,,
Linear-Flow (Baseline),GPT-4o-mini,14f,0.6666666666666666,0.5454545454545454,,,,,
Linear-Flow (Baseline),GPT-4o-mini,15,0.5,0.4615384615384615,,,,,
Linear-Flow (Baseline),GPT-4o-mini,16,0.6,0.5454545454545454,,,,,
Linear-Flow (Baseline),GPT-4o-mini,17,0.6086956521739131,0.5,,,,,
Linear-Flow (Baseline),GPT-4o-mini,18,0.7692307692307692,0.7142857142857143,,,,,
Linear-Flow (Baseline),GPT-4o-mini,19a,0.4166666666666667,0.33333333333333337,,,,,
Linear-Flow (Baseline),GPT-4o-mini,19b,0.5,0.3,,,,,
Linear-Flow (Baseline),GPT-4o-mini,27a,0.5833333333333334,0.5833333333333334,,,,,
Linear-Flow (Baseline),GPT-4o-mini,27b,0.4,0.0,,,,,
Linear-Flow (Baseline),GPT-4o-mini,28,0.9230769230769231,0.8275862068965518,,,,,
Linear-Flow (Baseline),GPT-4o-mini,29c,0.6000000000000001,0.5,,,,,
Linear-Flow (Baseline),GPT-4o-mini,29d,0.5833333333333334,0.5833333333333334,,,,,
Linear-Flow (Baseline),GPT-4o-mini,30a,0.5,0.5,,,,,
Linear-Flow (Baseline),GPT-4o-mini,30b,0.6666666666666666,0.5,,,,,
Linear-Flow (Baseline),GPT-4o-mini,31a,0.0,0.0,,,,,
Linear-Flow (Baseline),GPT-4o-mini,31b,0.0,0.0,,,,,
Linear-Flow (Baseline),GPT-4o-mini,32d,0.47058823529411764,0.47058823529411764,,,,,
Linear-Flow (Baseline),GPT-4o-mini,33a,0.4615384615384615,0.4615384615384615,,,,,
Linear-Flow (Baseline),GPT-4o-mini,33b,0.6,0.5,,,,,
Linear-Flow (Baseline),GPT-4o-mini,35b,0.7142857142857143,0.0,0.0,,,,
Linear-Flow w/ Router,GPT-4o,01,0.75,0.6,0.6,,,,
Linear-Flow w/ Router,GPT-4o,02,0.5714285714285714,0.5714285714285714,0.4615384615384615,,,,
Linear-Flow w/ Router,GPT-4o,03,0.6666666666666666,0.4615384615384615,0.4615384615384615,,,,
Linear-Flow w/ Router,GPT-4o,14e,0.6666666666666667,0.6666666666666666,0.6666666666666666,,,,
Linear-Flow w/ Router,GPT-4o,14f,0.6666666666666666,0.6666666666666666,0.5714285714285714,,,,
Linear-Flow w/ Router,GPT-4o,15,0.6,0.5882352941176471,0.4444444444444444,,,,
Linear-Flow w/ Router,GPT-4o,16,0.7272727272727272,0.6,0.5,,,,
Linear-Flow w/ Router,GPT-4o,17,0.4444444444444444,0.4210526315789474,0.34782608695652173,0.25000000000000006,,,
Linear-Flow w/ Router,GPT-4o,18,0.625,0.5454545454545454,0.42857142857142855,,,,
Linear-Flow w/ Router,GPT-4o,19a,0.4,0.4,0.2857142857142857,,,,
Linear-Flow w/ Router,GPT-4o,19b,0.4444444444444444,0.4,0.38095238095238093,,,,
Linear-Flow w/ Router,GPT-4o,27a,0.8000000000000002,0.7692307692307692,0.7586206896551724,,,,
Linear-Flow w/ Router,GPT-4o,27b,0.7826086956521738,0.6363636363636364,0.6086956521739131,,,,
Linear-Flow w/ Router,GPT-4o,28,1.0,0.9600000000000001,0.8181818181818182,0.8000000000000002,0.761904761904762,,
Linear-Flow w/ Router,GPT-4o,29c,0.8421052631578948,0.7692307692307693,0.7272727272727273,0.6666666666666667,0.6666666666666666,,
Linear-Flow w/ Router,GPT-4o,29d,0.6956521739130435,0.64,0.6363636363636364,0.5882352941176471,0.5555555555555556,,
Linear-Flow w/ Router,GPT-4o,30a,1.0,1.0,1.0,,,,
Linear-Flow w/ Router,GPT-4o,30b,1.0,1.0,0.6666666666666666,,,,
Linear-Flow w/ Router,GPT-4o,31a,1.0,1.0,0.6666666666666666,,,,
Linear-Flow w/ Router,GPT-4o,31b,1.0,1.0,1.0,,,,
Linear-Flow w/ Router,GPT-4o,32d,0.5714285714285715,0.4615384615384615,0.0,,,,
Linear-Flow w/ Router,GPT-4o,33a,0.3333333333333333,0.2857142857142857,0.0,,,,
Linear-Flow w/ Router,GPT-4o,33b,0.5,0.5,0.36363636363636365,,,,
Linear-Flow w/ Router,GPT-4o,35b,0.7692307692307693,0.7692307692307693,0.0,0.0,,,
Linear-Flow w/ Router,GPT-4o-mini,01,0.75,0.6666666666666667,0.5454545454545454,0.5,,,
Linear-Flow w/ Router,GPT-4o-mini,02,0.375,0.375,0.35294117647058826,0.25,,,
Linear-Flow w/ Router,GPT-4o-mini,03,0.6666666666666666,0.6666666666666665,0.6153846153846153,0.6,,,
Linear-Flow w/ Router,GPT-4o-mini,14e,0.7142857142857143,0.6250000000000001,0.6153846153846153,0.4615384615384615,,,
Linear-Flow w/ Router,GPT-4o-mini,14f,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5,,,
Linear-Flow w/ Router,GPT-4o-mini,15,0.43478260869565216,0.42857142857142855,0.35294117647058826,0.26666666666666666,,,
Linear-Flow w/ Router,GPT-4o-mini,16,0.6666666666666665,0.6,0.6,0.5,,,
Linear-Flow w/ Router,GPT-4o-mini,17,0.7058823529411765,0.5555555555555556,0.5263157894736842,0.5263157894736842,0.5,,
Linear-Flow w/ Router,GPT-4o-mini,18,0.625,0.5,0.0,0.0,,,
Linear-Flow w/ Router,GPT-4o-mini,19a,0.4444444444444445,0.42857142857142855,0.32,0.3157894736842105,,,
Linear-Flow w/ Router,GPT-4o-mini,19b,0.4,0.3809523809523809,0.3809523809523809,0.3529411764705882,,,
Linear-Flow w/ Router,GPT-4o-mini,27a,0.6666666666666666,0.5925925925925927,0.5925925925925927,0.5925925925925927,,,
Linear-Flow w/ Router,GPT-4o-mini,27b,0.47619047619047616,0.4444444444444444,0.4444444444444444,0.4444444444444444,,,
Linear-Flow w/ Router,GPT-4o-mini,28,1.0,1.0,1.0,1.0,0.7499999999999999,0.0,
Linear-Flow w/ Router,GPT-4o-mini,29c,0.6428571428571429,0.6428571428571428,0.6428571428571428,0.6206896551724139,0.5999999999999999,0.5806451612903226,
Linear-Flow w/ Router,GPT-4o-mini,29d,0.56,0.56,0.56,0.56,0.39999999999999997,0.39999999999999997,
Linear-Flow w/ Router,GPT-4o-mini,30a,0.5,0.5,0.5,0.5,,,
Linear-Flow w/ Router,GPT-4o-mini,30b,0.5,0.5,0.5,0.5,,,
Linear-Flow w/ Router,GPT-4o-mini,31a,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,,,
Linear-Flow w/ Router,GPT-4o-mini,31b,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,
Linear-Flow w/ Router,GPT-4o-mini,32d,0.33333333333333326,0.26666666666666666,0.0,,,,
Linear-Flow w/ Router,GPT-4o-mini,33a,0.5714285714285715,0.5714285714285714,0.5,0.5,,,
Linear-Flow w/ Router,GPT-4o-mini,33b,0.6,0.5,0.5,0.5,,,
Linear-Flow w/ Router,GPT-4o-mini,35b,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7692307692307693,,,
Multi-Agent,GPT-4o,01,0.6666666666666666,0.5555555555555556,0.4545454545454546,0.42857142857142855,,,
Multi-Agent,GPT-4o,02,0.6153846153846153,0.5,0.5,0.4444444444444444,,,
Multi-Agent,GPT-4o,03,0.4545454545454546,0.4444444444444445,0.3157894736842105,0.1818181818181818,,,
Multi-Agent,GPT-4o,14e,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,,,
Multi-Agent,GPT-4o,14f,0.6666666666666666,0.6,0.5454545454545454,0.5,,,
Multi-Agent,GPT-4o,15,0.4615384615384615,0.4444444444444444,0.42857142857142855,0.39999999999999997,,,
