,,f1_score,f1_score,f1_score,f1_score,precision,precision,precision,precision,recall,recall,recall,recall
,,mean,std,min,max,mean,std,min,max,mean,std,min,max
model,configuration,,,,,,,,,,,,
GPT-4o,Linear-Flow (Baseline),0.5810755588207129,0.20438880408979773,0.0,1.0,0.6557374338624338,0.2623054106410474,0.0,1.0,0.5484994172494173,0.2011714476057507,0.0,1.0
GPT-4o,Linear-Flow w/ Router,0.7023728747627489,0.20237931029910206,0.3333333333333333,1.0,0.8053736772486774,0.18499925684062996,0.4,1.0,0.6735840548340549,0.24172517339786023,0.2857142857142857,1.0
GPT-4o,Multi-Agent,0.6637539694421365,0.21414428985345318,0.2857142857142857,1.0,0.7456469456469456,0.22062595469446286,0.2857142857142857,1.0,0.6296514249639249,0.2310668955860079,0.2857142857142857,1.0
GPT-4o,Single-Agent,0.6426532939261772,0.2129255782888214,0.3636363636363636,1.0,0.7513723544973545,0.19825518175268733,0.4,1.0,0.6181576797385621,0.2403382993160878,0.29411764705882354,1.0
GPT-4o-mini,Linear-Flow (Baseline),0.5341906636983363,0.20759374206848172,0.0,0.9230769230769231,0.6040124805749806,0.26218007348083866,0.0,1.0,0.5161719067969068,0.21566326344168255,0.0,0.9230769230769231
GPT-4o-mini,Linear-Flow w/ Router,0.6037644792216404,0.15501172315893091,0.33333333333333326,1.0,0.6758733164983165,0.19620160051646657,0.3,1.0,0.6019097222222222,0.20567866323482467,0.26666666666666666,1.0
GPT-4o-mini,Multi-Agent,0.5957640400394023,0.18188575042136776,0.3478260869565218,1.0,0.6874019499019498,0.1979211506608384,0.4,1.0,0.5775949268596327,0.20102257694737366,0.23529411764705882,1.0
GPT-4o-mini,Single-Agent,0.5762441623623165,0.1843861538970878,0.30769230769230765,1.0,0.7188161375661376,0.21432896825509162,0.2857142857142857,1.0,0.544438085063085,0.22741184794766547,0.23076923076923078,1.0
